Sample text from http://www.gutenberg.org/
LineNo,Textline
1,Vor vielen Jahren jagte einmal im Walde von Shimoda1 der Sohn eines Fürsten.
2,Er hatte das seltene Glück einen schneeweißen Fuchs weiblichen Geschlechts zu fangen.
3,The Time Traveller (for so it will be convenient to speak of him) was expounding a recondite matter to us. His grey eyes shone and twinkled, and his usually pale face was flushed and animated.
4,The fire burned brightly, and the soft radiance of the incandescent lights in the lilies of silver caught the bubbles that flashed and passed in our glasses.
5,Η ακρόπολις Μαχαιρουσία υψούτο προς ανατολάς της Νεκράς θαλάσσης επί κωνοειδούς βράχου μελανού και αποκρήμνου.
6,Τέσσαρες βαθείαι κοιλάδες την περιέκλειον, δύο προς τα πλάγια, μία απέναντι και η τετάρτη πέραν.
7,周公，聖人之治者也，後王不能舉，則仲尼述之，而周公之道明。
8,文中子，聖人之修者也，孟軻之徒歟，非諸子流矣。蓋萬章、公孫醜不能極師之奧，盡錄其言，故孟氏章 句略而多闕。
9,Ne ovat kevään ensimäisiä nuo kömpelöt, niukkatuoksuiset keltakukat.
10,Ne nousevat melkein samoihin aikoihin kuin niittyjen nurmi ja juuri silloin kuin lämpöiset kevättuulet lumien alla levänneistä laihoista ruosteenkarvaa pois hiovat.
11,אני שכבתי בעליתי, ואשמע ממעל לי את קול השעון אשר השמיע את השעה הששית.
12,הבקר כמעט כבר האיר.
13,אנחנו עמדנו בחדר-המבוא.
14,或日の暮方の事である。
15,一人の下人が、羅生門の下で雨やみを待っていた。
16,Na początku osiemnastego wieku gra osiągnęła wysokie stadium rozwoju we Francji, Anglii i Niemczech.
17,Za najlepszych graczy obecnie uważa się Newella Banksa i Alfreda Jordana.
18,Paa veien avla jeg et besøk hos min slegt i Edinburgh. 
19,Det har sine fordele at være amerikaner.
20,V tomto kraji vyrostli kdysi zbojníci Ondráš a Juráš.
21,Zemřeli Ondráš a Juráš. Valašská statečnost však nezemřela.
22,Byli to valašští partyzáni.
23,Það eru eigi fötin, hatturinn, skórnir eða fingurgullin.
24,Sama gildir auðvitað um konur.
25,hefir mikla þýðingu og getur borið mikinn ávöxt.
26,. إنه اسم مشروعه الخطير، مشروع أول وأعرق مكتبة الكترونية في التاريخ. إنه مشروع غوتنبرغ 
27,ترى هل نسينا شيئاً خلال حديثنا عن مغامرة هارت الكبرى؟ نعم. إنه اسم مشروعه الخطير، مشروع أول وأعرق مكتبة الكترونية في التاريخ. إنه مشروع غوتنبرغ Project Gutenberg.
28,Die bedrywigheid van die laaste jare is van veelsydige geaardheid.
29,Aan die spits van die intellektuele gedeelte van die volk staan die wetenskaplik gevormde leiers, ten volle toegerus met al die geestelike goedere van die buiteland.
30,т, без никакъв катехизис за изкуството и неговите цели.
31,буждане добри чувства в човешкото сърце.
32,Няколко пъти се е ръкувал с Юнгфрау,оная дивна красавица, която и нему, както и на великия руски романист,е пришепвала световни тайни.
33,Ka tupu nei a Tutanekai ratou ko ana tuakana, a ka whakatangata.
34,Na, ka hanga e Tutanekai tona pourewa ki reira ki Kaiweka.
35,A ka ngaro te ngenge, ka kauhoe ano a Hinemoa.
36,Ei meile ole waja midagi. Meie olime õemehe pool sees ja oleme küla hääd saanud.
37,Küll sa homme kõnelema hakkad. Roni nüüd ära ülesse ahju pääle, sääl on sul soe magada.
38,Уже и сейчасъ въ Англіи, въ Германіи, въ Чехіи издаются книги о старомъ и новомъ русскомъ искусствѣ.
39,Бытъ, жизнь Московіи кажется имъ суровой.
40,Såtillvida var allting gott och väl.
41,Så erinrade hon sig väckarklockan. Även den stod men kunde dragas upp i ett nafs.
42,Соба код Томе. На средини и са стране по једна врата.
